	time	count
0	0.0010	0
1	0.0011	1069
2	0.0012	0
3	0.0013	0
4	0.0014	0
5	0.0015	0
6	0.0016	0
7	0.0017	0
8	0.0018	0
9	0.0019	1025
10	0.0020	0
11	0.0021	0
12	0.0022	0
13	0.0023	0
14	0.0024	0
15	0.0025	0
16	0.0026	0
17	0.0027	0
18	0.0028	0
19	0.0029	0
20	0.0030	913
21	0.0031	0
22	0.0032	0
23	0.0033	0
24	0.0034	0
25	0.0035	0
26	0.0036	0
27	0.0037	0
28	0.0038	0
29	0.0039	0
30	0.0040	811
31	0.0041	0
32	0.0042	0
33	0.0043	0
34	0.0044	0
35	0.0045	0
36	0.0046	0
37	0.0047	0
38	0.0048	0
39	0.0049	652
40	0.0050	0
41	0.0051	0
42	0.0052	0
43	0.0053	0
44	0.0054	0
45	0.0055	0
46	0.0056	0
47	0.0057	581
48	0.0058	0
49	0.0059	0
50	0.0060	0
51	0.0061	0
52	0.0062	0
53	0.0063	519
54	0.0064	0
55	0.0065	0
56	0.0066	0
57	0.0067	0
58	0.0068	0
59	0.0069	0
60	0.0070	465
61	0.0071	0
62	0.0072	0
63	0.0073	0
64	0.0074	0
65	0.0075	418
66	0.0076	0
67	0.0077	0
68	0.0078	0
69	0.0079	0
70	0.0080	377
71	0.0081	0
72	0.0082	0
73	0.0083	0
74	0.0084	310
75	0.0085	0
76	0.0086	0
77	0.0087	0
78	0.0088	281
79	0.0089	0
80	0.0090	0
81	0.0091	257
82	0.0092	0
83	0.0093	0
84	0.0094	236
85	0.0095	0
86	0.0096	0
87	0.0097	217
88	0.0098	0
89	0.0099	201
90	0.0100	0
91	0.0101	0
92	0.0102	187
93	0.0103	0
94	0.0104	175
95	0.0105	0
96	0.0106	164
97	0.0107	0
98	0.0108	155
99	0.0109	147
100	0.0110	0
101	0.0111	141
102	0.0112	0
103	0.0113	135
104	0.0114	0
105	0.0115	129
106	0.0116	124
107	0.0117	0
108	0.0118	120
109	0.0119	116
110	0.0120	114
111	0.0121	0
112	0.0122	110
113	0.0123	105
114	0.0124	104
115	0.0125	0
116	0.0126	103
117	0.0127	103
118	0.0128	103
119	0.0129	101
120	0.0130	101
121	0.0131	100
122	0.0132	0
123	0.0133	100
124	0.0134	100
125	0.0135	100
126	0.0136	99
127	0.0137	99
128	0.0138	98
129	0.0139	0
130	0.0140	97
131	0.0141	96
132	0.0142	96
133	0.0143	96
134	0.0144	96
135	0.0145	96
136	0.0146	96
137	0.0147	96
138	0.0148	0
139	0.0149	95
140	0.0150	95
141	0.0151	95
142	0.0152	95
143	0.0153	95
144	0.0154	95
145	0.0155	95
146	0.0156	95
147	0.0157	95
148	0.0158	95
149	0.0159	94
150	0.0160	94
151	0.0161	94
152	0.0162	0
153	0.0163	94
154	0.0164	94
